"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARHGAP40",0.0249672775042739,0.917872242090543,0.02,0.01,1
"SENP5",0.0249716309872751,0.113978618275607,0.146,0.116,1
"TPST1",0.0249734111643511,-0.567554585079697,0.101,0.126,1
"ZNF692",0.0249829734131111,0.270173986021425,0.084,0.062,1
"NRSN1",0.025062556872186,1.44779337925374,0.012,0.005,1
"SENP6",0.0250725084483883,0.162646469142803,0.164,0.133,1
"HSD11B1",0.0250866146870273,-0.92224537103482,0.016,0.029,1
"GSAP",0.0251028888726179,0.217101288718772,0.123,0.097,1
"TTC21B",0.0251593145900989,0.330141790599465,0.074,0.054,1
"STK19",0.0251878200405281,0.253028249436973,0.096,0.073,1
"MTLN",0.0252037305554013,0.151332683460072,0.178,0.146,1
"VWA2",0.025206196321094,1.15888034159434,0.012,0.005,1
"ARHGAP23",0.02522224306604,-0.485525341632425,0.102,0.128,1
"FRMD6",0.025258290560733,-0.354691629480997,0.169,0.199,1
"YY2",0.0253028146559954,1.06577093720286,0.012,0.005,1
"AGBL5",0.0254376607944312,0.284957802597746,0.091,0.068,1
"ZNF700",0.025443825006216,0.430036908449581,0.055,0.038,1
"NCOA5",0.02544530557317,0.284957802597746,0.091,0.068,1
"RBM19",0.0254757012704995,0.316421618580819,0.082,0.061,1
"AQP9",0.0255241018051977,0.379006155958842,0.095,0.072,1
"DHX37",0.0256140338076703,0.243652662473513,0.117,0.092,1
"BOD1L1",0.0256173281385484,0.225606455395152,0.109,0.085,1
"GATAD2B",0.0256668786992221,0.108254268524371,0.17,0.138,1
"CHPF",0.025734818391976,-0.187442327948642,0.518,0.525,1
"TOM1L2",0.0258003752923605,0.426731763725908,0.045,0.03,1
"CARD6",0.0258249854285609,0.549755790199193,0.044,0.029,1
"RBM43",0.0258551981414348,0.646512971605818,0.043,0.029,1
"KMT2D",0.0258611984280408,0.163697357892115,0.162,0.131,1
"CYREN",0.0259056695363256,0.179851403424611,0.151,0.122,1
"SFXN2",0.0259147308019341,0.934696864731903,0.021,0.011,1
"ZNF354A",0.025925239098791,0.422816713722525,0.06,0.042,1
"PHF20L1",0.025938237034796,0.185906245878726,0.167,0.136,1
"ADGRL2",0.0259709496907838,-0.549898677459483,0.086,0.109,1
"CLEC2B",0.025976639767938,0.19369584985435,0.23,0.194,1
"CDK11B",0.0260583985633135,0.267299136101238,0.116,0.091,1
"ATG9A",0.0260800768000383,0.189889212651887,0.162,0.131,1
"CCDC149",0.0260909051163485,0.493655316037304,0.045,0.03,1
"SLF1",0.0263321271306602,0.780368718340609,0.021,0.011,1
"SLC2A13",0.0263420590675987,0.428896347839231,0.053,0.037,1
"LGALS2",0.0264074841898759,-0.956596875825597,0.028,0.043,1
"DLL1",0.0264574816946536,0.41113490867489,0.074,0.054,1
"CBLL1",0.0264863651463496,0.27993972783112,0.078,0.057,1
"GIGYF2",0.0265544929428738,0.157735799653397,0.118,0.092,1
"FSTL3",0.0265697653519739,-0.29944671289864,0.233,0.265,1
"CST7",0.0266891921041354,0.44646798178717,0.058,0.041,1
"BRD9",0.026721055545205,0.230103838367542,0.155,0.126,1
"ZNF564",0.0267947841982273,0.307780196499607,0.081,0.06,1
"BRF1",0.0268440437772421,0.231238323474482,0.074,0.054,1
"RERG",0.0268483897723285,-0.731530320190823,0.034,0.052,1
"ZNF333",0.0268658593203636,0.401250793316708,0.059,0.042,1
"FAM114A2",0.0269169608916497,0.553403567214337,0.042,0.028,1
"PANX1",0.0269203390552484,0.357511714602466,0.087,0.065,1
